Firm,Year,red,blue,Employment,MarketCap,num_days_nxt,total_return_nxt,num_days,total_return,sectorNo,sectorNote,MarketLeader,n_competitor,n_closecomp,CloseLeader,CloseCompetitor,n_investment,estimated_USD,estimated_TL,D,DeltaD,have_inv
HEKTS,1998,0,1,235,10808926400000,236,1.4241352056395125,247,-0.021533399886647153,33,gubre,FALSE,4,1,0,TRUE,0,0,0,1,NA,FALSE
HLKSG,1998,0,0,380,51840000000000,229,0.35222059358935,228,1.034088267635664,61,sigorta sirketleri,FALSE,7,3,0,TRUE,0,0,0,0,NA,FALSE
HURGZ,1998,0,1,96,789386325000000,236,1.4609579061290363,247,0.25330648988172233,7,Gazetler,FALSE,4,1,0,TRUE,3,69520005.61525849,17976563,1,NA,TRUE
HZNDR,1998,0,0,98,4000000000000,235,0.24718511037422886,247,-0.19237189264745758,60,seramik porselen,FALSE,4,2,0,TRUE,0,0,0,0,NA,FALSE
IHEVA,1998,0,0,648,12352500000000,236,0.9162907318741562,247,0.6147434748911467,3,Beyazesya,FALSE,7,0,1,FALSE,0,0,0,0,NA,FALSE
IHFIN,1998,0,0,732,445e14,236,1.1320602227356504,247,-0.060104957402504766,2,Bankalar,FALSE,16,1,0,TRUE,7,10146137.875866046,2623600,0,NA,TRUE
IHLAS,1998,0,1,2464,325000000000000,236,1.8450314841249986,247,-0.7086513670959105,8,Holdingler ve yatirim sirketleri,FALSE,16,4,1,TRUE,0,0,0,1,NA,FALSE
IKTFN,1998,0,1,45,16e15,236,1.2558173258800869,247,-0.8113612977629998,4,"Factoring, finansal kiralama",TRUE,10,0,1,FALSE,0,0,0,1,NA,FALSE
INMDY,1998,0,0,51,528000000000000,NA,NA,210,-0.11466290832014003,7,Gazetler,FALSE,4,1,1,TRUE,0,0,0,0,NA,FALSE
INTEM,1998,0,1,364,7100000000000,236,1.5989666125668052,247,-0.3914788661334242,58,plastik,FALSE,4,2,0,TRUE,0,0,0,1,NA,FALSE
ISAMB,1998,0,1,428,25405721250000,236,0.5963469114902578,247,0.8423764776484259,53,paper products,FALSE,9,3,0,TRUE,1,1892539.344031844,489375,1,NA,TRUE
ISBTR,1998,0,1,14827,10279629e10,236,1.5604149592934249,247,-0.6346200987657058,2,Bankalar,FALSE,16,1,1,TRUE,0,0,0,1,NA,FALSE
ISYAT,1998,0,0,3,17400000000000,236,1.6339219269195606,247,-0.46985111761643017,46,menkul kiymet yatirim ortakliklari,TRUE,14,0,1,FALSE,0,0,0,0,NA,FALSE
IZMDC,1998,0,0,538,69719999999999.99,236,1.9169226121820602,247,-0.8066808448573193,21,demir celik,FALSE,3,1,0,TRUE,0,0,0,0,NA,FALSE
IZOCM,1998,0,1,289,14040000000000,236,1.881771707939086,247,-0.2231846704688094,19,cam,FALSE,4,1,1,TRUE,8,4800043.170437243,2303497,1,NA,TRUE
