Firm,Year,Employment
KUTPO,2001,1191
LINK,2001,97
LIOYS,2001,138
LOGO,2001,206
LUKSK,2001,89
MAALT,2001,159
MAKTK,2001,237
MARET,2001,231
MDRNU,2001,112
MEGES,2001,109
MEMSA,2001,1317
MERKO,2001,221
METAS,2001,3
MIGRS,2001,5997
MILYT,2001,36
MIPAZ,2001,81
MMART,2001,740
MNDRS,2001,2582
MRDIN,2001,224
MRSHL,2001,525
MTEKS,2001,153
MUTLU,2001,416
MYZYO,2001,2
MZHLD,2001,18
NERGS,2001,61
NETAS,2001,619
NIGDE,2001,141
NTHOL,2001,19
NTTUR,2001,653
NUHCM,2001,432
OKANT,2001,183
OLMKS,2001,606
OTKAR,2001,447
OZFIN,2001,7
PARSN,2001,428
PASTA,2001,167
PENGD,2001,299
PETKM,2001,5006
PETUN,2001,530
PIMAS,2001,191
PKENT,2001,96
PNSUT,2001,738
POLYL,2001,856
PRKAB,2001,513
PRKTE,2001,350
PRTAS,2001,54
PTOFS,2001,1275
PINSU,2001,225
RAKSE,2001,241
RANTL,2001,12
RAYSG,2001,184
RKSEV,2001,113
SAHOL,2001,243
SANKO,2001,135
SARKY,2001,530
SASA,2001,2754
SELGD,2001,229
SERVE,2001,84
SEZGD,2001,228
SIFAS,2001,1415
SISE,2001,335
SKBNK,2001,2675
SKPLC,2001,800
SKTAS,2001,1348
SNPAM,2001,695
SODA,2001,1015
SOKSA,2001,5
SONME,2001,559
SYBNK,2001,108
SYBYO,2001,2
TACYO,2001,6
TATKS,2001,1942
TBORG,2001,264
TCELL,2001,2241
TEBNK,2001,1262
TEKST,2001,649
TEKTU,2001,224
THYAO,2001,11917
TIRE,2001,598
TKBNK,2001,879
TNSAS,2001,4358
TOASO,2001,888
TOPFN,2001,23
TPFAC,2001,19
TRCAS,2001,192
TRNSK,2001,21
TSKB,2001,316
TUDDF,2001,655
TUKAS,2001,1072
TUMTK,2001,
TUPRS,2001,4985
UCAK,2001,1149
UKIM,2001,1064
UNTAR,2001,26
UNYEC,2001,211
USAK,2001,215
UZEL,2001,1375
VAKFN,2001,33
VAKKO,2001,748
VANET,2001,103
VESTL,2001,2591
VKFRS,2001,5
VKFYT,2001,5
VKING,2001,168
YATAS,2001,523
YAZIC,2001,2
YKBNK,2001,10060
YKFIN,2001,74
YKRYO,2001,3
YKSGR,2001,560
YTFYO,2001,2
YUNSA,2001,600
ZOREN,2001,159
ABANA,2002,8
ACIBD,2002,1058
ADANA,2002,385
ADEL,2002,225
AEFES,2002,1150
AFYON,2002,119
AGIDA,2002,939
AKALT,2002,1691
AKBNK,2002,9011
AKCNS,2002,867
AKENR,2002,2002
AKGRT,2002,388
AKIPD,2002,1271
AKSA,2002,686
AKSUE,2002,21
AKYO,2002,3
ALARK,2002,35
ALCAR,2002,707
ALCTL,2002,506
ALFA,2002,117
ALKA,2002,226
ALKIM,2002,142
ALNTF,2002,486
ALTIN,2002,1734
ALYAG,2002,222
ANACM,2002,1810
ANHYT,2002,265
ANSGR,2002,375
ARAT,2002,907
ARCLK,2002,6275
ARENA,2002,166
ARFYO,2002,4
ARSAN,2002,1341
