,Firm,Year,Name
237,TUKAS,1998,TUKAŞ TURGUTLU KONSERVECİLİK A.Ş.
238,TEKST,1998,TEKSTİL BANKASI AŞ.
239,IDAS,1998,İDAŞ – İSTANBUL DÖŞEME SANAYİİ A. Ş.
240,BERDN,1998,BERDAN TEKSTİL SANAYİ VE TİCARET A.Ş.
241,BFREN,1998,BOSCH FREN SİSTEMLERİ SANAYİ VE TİCARET A.Ş.
242,okant,1998,OKAN TEKSTİL SANAYİ VE TİCARET A.Ş.
243,CEYLN,1998,CEYLAN GİYİM SANAYİ VE TİCARET ANONİM ŞİRKETİ
244,EMEK,1998,EMEK SİGORTA A.Ş.
245,ISYAT,1998,İŞ YATIRIM ORTAKLIĞI A.Ş.
246,ENKA,1998,ENKA HOLDİNG YATIRIM A.Ş.
247,MRSHL,1998,MARSHALL BOYA VE VERNİK SANAYİİ A.Ş.
248,EMNIS,1998,EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.
249,ISAMB,1998,IŞIKLAR AMBALAJ SANAYİİ VE TİCARET AŞ.
250,UKIM,1998,UKİ ULUSLAR ARASI KONFEKSİYON İMALAT VE TİCARET A.Ş.
251,DYHOL,1998,DOĞAN YAYIN HOLDİNG A.Ş.
252,TKBNK,1998,TÜRKİYE KALKINMA BANKASI A.Ş.
253,TEZSN,1998,"
TEZSAN TAKIM TEZGAHLARI SANAYİ VE TİCARET A.Ş."
254,UZEL,1998,UZEL MAKİNA SANAYİİ A.Ş.
255,SOKSA,1998,"SÖKSA - SİNOP ÖRME VE KONFEKSİYON
SANAYİ VE TİCARET A.Ş"
256,ASELS1,1998,ASELSAN ELEKTRONİK VE TİCARET SANAYİ A.Ş.
257,DMSAS,1998,DEMİSAŞ DÖKÜM EMAYE MAMULLERİ SANAYİİ ANONİM ŞİRKETİ
258,SONME,1998,SÖNMEZ FİLAMENT A.Ş.
259,KAVOR,1998,KAV ORMAN SANAYİİ A.Ş
260,MRDIN,1998,MARDİN ÇİMENTO SANAYİİ ve TİCARET A.Ş.
261,YABNK,1998,TÜRKİYE TÜTÜNCÜLER BANKASI YAŞARBANK A.Ş.
262,Medya,1998,MEDYA HOLDİNG A.Ş.
263,VANET,1998,VAN-ET ENTEGRE ET SANAYİ ve TİCARET A.Ş.
264,CIMSA,1998,ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.
265,MZHLD,1998,MAZHAR ZORLU HOLDİNG A.Ş.
266,DERIM,1998,DERİMOD KONFEKSİYON AYAKKABI DERİ SAN.VE TİC.A.Ş.
267,TOFAS,1998,TOFAŞ OTO TİCARET A.Ş.
268,TATKS,1998,TAT KONSERVE SANAYİ A.Ş
269,DITAS,1998,DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.
270,SMENS,1998,TÜRK SIEMENS KABLO VE ELEKTRİK SANAYİ A.Ş.
271,AKBNK,1998,AKBANK   T.A.Ş
272,PENGD,1998,PENGUEN GIDA SANAYİ A.Ş.
273,BRYAT,1998,BORUSAN YATIRIM VE PAZARLAMA A.Ş.
274,AVRSY,1998,AVRASYA MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
275,ARSAN,1998,                   ARSAN TEKSTİL TİCARET VE SANAYİ A.Ş.
276,APEKS,1998,APEKS DIŞ TİCARET ANONİM ŞİRKETİ
277,SNPAM,1998,SÖNMEZ PAMUKLU SANAYİİ A.Ş.
278,EREGL,1998,EREĞLİ DEMİR ve ÇELİK FABRİKALARI T.A.Ş
279,RAKSE,1998,RAKS ELEKTRONİK SANAYİ VE TİCARET A.Ş.
280,BAKAB,1998,BAK AMBALAJ SANAYİ VE TİCARET A.Ş.
281,KENT,1998,KENT GIDA MADDELERİ SANAYİİ VE TİCARET A.Ş.
282,FNSYO,1998,FİNANS YATIRIM ORTAKLIĞI A.Ş.
283,ESBNK,1998,ESBANK ESKİŞEHİR BANKASI T.A.Ş.
284,VKGYO,1998,VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
285,KOYTS,1998,KÖYTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.
286,ALGYO,1998,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.
287,EGBRA,1998,EGE BİRACILIK VE MALT SANAYİİ A.Ş.
288,IZOCM,1998, İZOCAM TİCARET VE SANAYİ A.Ş.
289,bumyo,1998,BUMERANG YATIRIM ORTAKLIĞI A.Ş.
290,BANVT,1998,BANVİT BANDIRMA VİTAMİNLİ YEM SAN.A.Ş.
291,THYAO,1998,TÜRK HAVAYOLLARI A.O.
292,PEGPR,1998,BSH PROFİLO ELEKTRİKLİ GEREÇLER SANAYİİ A.Ş.
293,GLOBL,1998,GLOBAL MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
294,KRDMR,1998,KARDEMİR KARABÜK DEMİR ÇELİK SANAYİ VE TİCARET A.Ş.
295,TOASO,1998,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.
296,TUDDF,1998,TÜRK DEMİR DÖKÜM FABRİKASI A.Ş.
297,TPFAC,1998,TOPRAK FACTORING A.Ş.
298,DISBA,1998,TÜRK DIŞ TİCARET BANKASI A.Ş.
299,ABANA,1998,ABANA ELEKTROMEKANİK SAN. VE TİC. A.Ş.
300,DEVA,1998,DEVA HOLDİNG A.Ş.
301,BRISA,1998,BRİSA BRİDGESTONE SABANCI LASTİK SANAYİ VE TİC.A.Ş
302,EPLAS,1998,EGEPLAST EGE PLASTİK TİCARET VE SANAYİİ A.Ş.
303,EDIP,1998,EDİP İPLİK SANAYİ VE TİCARET A.Ş.
304,selgìd,1998, 
305,ASLAN,1998,LAFARGE ASLAN ÇİMENTO A.Ş
306,AKALT,1998,AK-AL TEKSTİL SANAYİİ A.Ş.
307,KERVT,1998,KEREVİTAŞ GIDA SANAYİ VE TİCARET A.Ş.
308,iktfn,1998,İKTİSAT FİNANSAL KİRALAMA A.Ş.
309,GUNEY,1998,GÜNEY BİRACILIK VE MALT SANAYİİ A.Ş.
310,HLKSG,1998,HALK SİGORTA T.A.Ş.
311,BAGFS,1998,BAGFAŞ BANDIRMA GÜBRE FABRİKALARI A.Ş.
312,ALNTF,1998,ALTERNATİFBANK A.Ş.
313,ATLAS,1998,ATLAS MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
314,BOSSA,1998,BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.
315,TRNSK,1998,TRANSTÜRK HOLDİNG A.Ş.
