Firm;Year;EstInvAmount;unitEA;RealizedInvAmount;unitRA;Inv_Name;beg_date;end_date
AYGAZ;2002;3.050.000;(Milyon-Million TL);82.258;(Milyon-Million TL);Aliağa Deniz Dev.;2001-09-13;2003-09-12
AYGAZ;2002;499.147;(Milyon-Million TL);349.887;(Milyon-Million TL);Diyarbakır;2002-01-01;2004-01-01
AYGAZ;2002;606.066;(Milyon-Million TL);386.248;(Milyon-Million TL);Samsun;2002-01-01;2004-01-01
AYGAZ;2002;485.354;(Milyon-Million TL);355.793;(Milyon-Million TL);Kırıkkale;2002-01-01;2004-01-01
AYGAZ;2002;3.822.025;(Milyon-Million TL);2.179.841;(Milyon-Million TL);Ambarlı;2002-01-01;2004-01-01
AYGAZ;2002;2.383.354;(Milyon-Million TL);845.680;(Milyon-Million TL);Yarımca;2002-01-01;2004-01-01
AYGAZ;2002;1.698.151;(Milyon-Million TL);916.641;(Milyon-Million TL);Aliağa;2002-01-01;2004-01-01
AYGAZ;2002;2.150.000;(Milyon-Million TL);457.308;(Milyon-Million TL);AGÜT;2002-05-31;2003-12-31
AYGAZ;2002;401.721;(Milyon-Million TL);111.269;(Milyon-Million TL);Eskişehir;2002-01-01;2004-01-01
AYGAZ;2002;602.210;(Milyon-Million TL);629.217;(Milyon-Million TL);Bursa ;2002-01-01;2004-01-01
AYGAZ;2002;799.237;(Milyon-Million TL);503.390;(Milyon-Million TL);Dörtyol;2002-01-01;2004-01-01
AYGAZ;2002;604.152;(Milyon-Million TL);432.720;(Milyon-Million TL);Işıkkent;2002-01-01;2004-01-01
AYGAZ;2002;1.475.000;(Milyon-Million TL);1.411.933;(Milyon-Million TL);Bilgi İşlem;2002-08-08;2004-08-08
BAKAB;2002;30.631.-;(Milyon-Million TL);30.631;(Milyon-Million TL);"ELEKTRİK MODÜLÜ
 (ELECTRIC MODULE)";2002-12-02;2002-12-31
BAKAB;2002;26.060.-;(Milyon-Million TL);24.757.-;(Milyon-Million TL);"GÜVENLİK SİSTEMİ
 (SECURITY SYSTEM)";2002-12-30;2002-01-01
BAKAB;2002;7.191.-;(Milyon-Million TL);7.191.-;(Milyon-Million TL);"PLATFORM
 (PLATFORM)";2002-08-19;2002-10-31
BAKAB;2002;12.672.-;(Milyon-Million TL);12.672.-;(Milyon-Million TL);"TRAFO ODASI
 (TRANSFORMER ROOM)";2000-03-09;2002-12-31
BAKAB;2002;18.230.-;(Milyon-Million TL);18.230.-;(Milyon-Million TL);"FİKTİF DEPO
 (CUSTOMS WAREHOUSE)";2000-11-30;2002-12-31
BAKAB;2002;7.500.-;(Milyon-Million TL);7.500.-;(Milyon-Million TL);"KIZGIN YAG KAZANI
 (HOT OIL BOILER)";2001-07-04;2002-03-31
BAKAB;2002;16.970.-;(Milyon-Million TL);16.970.-;(Milyon-Million TL);"ATÖLYE BİNASI
 (MAINTANANCE WORKSHOP)";2001-12-31;2002-06-30
BAKAB;2002;845.-;(Milyon-Million TL);845.-;(Milyon-Million TL);"BACA ESANJÖRÜ
 (FUNNEL HEAT EXCHANGER)";2002-01-17;2002-09-30
BAKAB;2002;194.444.-;(Milyon-Million TL);194.444.-;(Milyon-Million TL);"TRAFO YAPIMI
 (TRANSFORMER CONSTRUCTION)";2002-04-11;2002-12-31
BAKAB;2002;137.309.-;(Milyon-Million TL);137.309.-;(Milyon-Million TL);"OTOMATİK ÇÖZÜCÜ SİSTEM
 (AUTOMASTIC SOLVENT SYSTEM)";2001-07-13;2002-12-31
BAKAB;2002;51.127.-;(Milyon-Million TL);51.127.-;(Milyon-Million TL);"GAZ KROMOTOGRAFİ
 (GAS CHROMOTOGRAPH DEVICE)";2002-03-19;2002-03-31
BAKAB;2002;268.378.-;(Milyon-Million TL);268.378.-;(Milyon-Million TL);"DEPO İNŞAATI
 (WAREHOUSE CONSTRUCTION)";2002-02-28;2002-12-31
BAKAB;2002;127.992.-;(Milyon-Million TL);127.992.-;(Milyon-Million TL);"BASKI İZLEME ÜNİTE
 (PRINTING WATCHING UNIT)";2002-04-02;2002-05-31
BAKAB;2002;5.339.-;(Milyon-Million TL);5.339.-;(Milyon-Million TL);"BASKI İZLEME  STROBOSKOBU
 (PRINTING WATCHING STROBOSCABE)";2002-05-08;2002-05-31
BAKAB;2002;32.424.-;(Milyon-Million TL);32.424.-;(Milyon-Million TL);"FORKLİFT
 (FORKLIFT)";2002-05-27;2002-05-31
BAKAB;2002;15.156.-;(Milyon-Million TL);15.156.-;(Milyon-Million TL);"İSTİF MAKİNASI
 (STORING MACHINE)";2002-05-28;2002-05-31
BAKAB;2002;11.413.-;(Milyon-Million TL);11.413.-;(Milyon-Million TL);"MANUEL İSTİF MASKİNASI
 (MANUEL STORING MACHINE)";2002-05-27;2002-05-31
BAKAB;2002;36.570.-;(Milyon-Million TL);36.570.-;(Milyon-Million TL);"ARTPRO BASIC PACKAGE
 (ARTPRO BASIC PACKAGE)";2002-06-03;2002-06-30
BAKAB;2002;247.215.-;(Milyon-Million TL);247.215.-;(Milyon-Million TL);"VİSKOZİTE KONTROL SİSTEMİ
 (VISKOSITY CONTROL SYSTEM)";2002-07-05;2002-12-31
BAKAB;2002;68.288.-;(Milyon-Million TL);68.288.-;(Milyon-Million TL);"DİLME MAKİNASI
 (SLITTING MACHINE)";2002-07-31;2002-09-30
BAKAB;2002;41.013.-;(Milyon-Million TL);16.405.-;(Milyon-Million TL);"KAUÇUK KAPLI SLEEVE EKİPMAN
 (SLEEVE EQUIPMENT COVERED WITH RUBBER)";2002-09-11;2002-01-01
BAKAB;2002;271.075.-;(Milyon-Million TL);271.075.-;(Milyon-Million TL);"BASKI MAKİNASI KONT.SİSTEMİ
 (PRINTING MACHINE CONTROL SYSTEM)";2002-09-11;2002-12-31
BAKAB;2002;158.728.-;(Milyon-Million TL);158.728.-;(Milyon-Million TL);"BASKI İZLEME ÜNİTESİ
 (PRINTING WATCHING UNIT)";2002-09-11;2002-12-31
BAKAB;2002;5.571.-;(Milyon-Million TL);5.571.-;(Milyon-Million TL);"ÖLÇÜM ÜNİTESİ
 (MEASURING UNIT)";2002-09-12;2002-09-30
BAKAB;2002;18.413.-;(Milyon-Million TL);18.413.-;(Milyon-Million TL);"İSTİF MAKİNASI
 (STACKING MACHINE)";2002-08-26;2002-09-30
BAKAB;2002;13.969.-;(Milyon-Million TL);13.969.-;(Milyon-Million TL);"MANUEL İSTİF MAKİNASI
 (MANUEL STACKING MACHINE)";2002-08-26;2002-09-30
BAKAB;2002;3.628.648.-;(Milyon-Million TL);3.628.648.-;(Milyon-Million TL);"BASKI MAKİNASI
 (PRINTING MACHINE)";2002-07-19;2002-12-31
